Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,14,17,3,2,7
1,2,2,7,20,13,16
1,3,20,16,6,5,10
1,4,5,14,9,8,18
1,5,7,20,14,15,11
1,6,13,18,11,12,1
1,7,9,8,15,19,4
1,8,4,6,17,11,19
1,9,19,13,5,1,3
1,10,16,12,4,17,8
1,11,18,10,2,9,6
1,12,10,15,1,3,12
2,1,3,19,8,6,20
2,2,15,18,12,20,17
2,3,11,3,16,9,15
2,4,4,2,18,11,5
2,5,17,5,13,10,15
2,6,12,9,6,14,17
2,7,8,4,10,14,13
2,8,6,1,7,13,9
2,9,7,16,19,18,3
2,10,1,11,8,10,2
2,11,20,4,1,16,14
2,12,5,2,12,7,19
3,1,2,6,13,4,15
3,2,15,19,2,14,13
3,3,11,10,20,19,9
3,4,18,3,4,8,7
3,5,14,15,18,6,1
3,6,10,14,7,16,19
3,7,1,17,5,18,16
3,8,6,8,3,20,11
3,9,12,13,16,11,8
3,10,3,5,17,12,2
3,11,7,12,9,4,10
3,12,9,20,1,5,17
4,1,17,7,15,10,8
4,2,19,1,14,2,16
4,3,5,11,4,3,14
4,4,20,2,10,1,4
4,5,1,14,6,7,12
4,6,8,9,16,15,2
4,7,9,4,18,12,20
4,8,8,7,11,17,5
4,9,16,11,5,15,6
4,10,13,3,10,6,18
4,11,3,9,19,17,13
4,12,12,19,13,20,18
5,1,15,20,19,1,8
5,2,16,3,9,4,14
5,3,13,14,20,7,4
5,4,2,18,11,17,6
5,5,17,16,13,18,10
5,6,14,12,10,19,11
5,7,2,11,7,9,1
5,8,9,13,7,5,20
5,9,18,6,4,16,15
5,10,1,17,2,8,3
5,11,6,8,19,5,12
5,12,15,5,3,10,12
6,1,20,12,8,3,2
6,2,10,2,17,14,20
6,3,4,10,12,16,7
6,4,11,15,14,13,5
6,5,19,1,17,4,18
6,6,8,7,18,5,14
6,7,19,18,6,17,9
6,8,5,4,15,2,19
6,9,11,1,3,9,10
6,10,16,13,12,11,9
6,11,6,20,15,7,3
6,12,13,16,8,6,1
7,1,17,6,11,13,4
7,2,20,19,16,8,10
7,3,10,14,3,18,8
7,4,3,17,20,12,16
7,5,14,9,12,2,6
7,6,7,10,5,1,6
7,7,18,5,9,2,16
7,8,11,18,19,20,7
7,9,4,17,7,15,11
7,10,15,8,2,9,13
7,11,12,15,14,19,1
7,12,4,13,1,3,5
8,1,19,5,16,7,9
8,2,12,1,18,15,7
8,3,3,15,20,14,17
8,4,17,9,14,13,8
8,5,5,2,4,20,6
8,6,10,20,11,5,14
8,7,6,4,13,12,19
8,8,13,3,7,18,2
8,9,9,1,15,4,10
8,10,16,10,19,3,11
8,11,8,6,1,16,17
8,12,2,8,11,18,12
9,1,18,9,10,13,20
9,2,1,19,9,3,13
9,3,7,4,8,19,18
9,4,3,14,6,11,4
9,5,16,10,2,6,15
9,6,11,16,14,15,18
9,7,13,16,5,1,2
9,8,4,12,3,8,5
9,9,6,7,2,19,17
9,10,8,11,1,7,20
9,11,20,15,17,9,12
9,12,14,5,17,10,12
10,1,10,18,15,5,19
10,2,12,1,5,16,4
10,3,1,7,10,4,17
10,4,9,12,6,7,3
10,5,17,16,8,15,7
10,6,2,17,20,11,13
10,7,15,13,12,19,11
10,8,5,20,9,8,6
10,9,19,2,4,14,9
10,10,14,6,13,10,8
10,11,18,3,11,1,20
10,12,14,2,16,18,3
11,1,9,3,15,6,5
11,2,4,19,10,17,16
11,3,19,14,18,17,1
11,4,16,1,6,20,14
11,5,7,20,16,14,13
11,6,1,8,2,12,18
11,7,10,11,9,17,3
11,8,20,18,4,3,15
11,9,12,13,7,2,10
11,10,8,9,19,11,5
11,11,5,8,13,4,15
11,12,2,7,12,6,11
12,1,18,10,12,9,4
12,2,7,15,18,16,6
12,3,11,17,1,9,16
12,4,17,19,15,2,3
12,5,7,12,14,8,9
12,6,15,14,10,1,2
12,7,13,4,8,20,1
12,8,8,6,11,10,19
12,9,3,16,20,12,19
12,10,5,7,3,13,14
12,11,11,5,4,20,2
12,12,6,17,5,13,18
13,1,13,11,17,19,7
13,2,18,5,1,19,9
13,3,12,11,16,1,6
13,4,19,6,14,4,9
13,5,16,8,3,2,4
13,6,15,18,13,12,11
13,7,1,10,5,7,3
13,8,6,3,2,10,13
13,9,9,15,20,2,16
13,10,20,18,8,14,10
13,11,14,20,17,5,12
13,12,4,17,7,15,8
14,1,3,9,15,7,1
14,2,10,13,20,8,15
14,3,10,4,18,11,7
14,4,17,15,6,3,1
14,5,4,12,1,6,14
14,6,2,19,9,11,7
14,7,16,8,3,18,5
14,8,12,2,19,5,20
14,9,20,6,19,16,13
14,10,11,16,5,4,14
14,11,9,14,18,13,17
14,12,17,12,10,8,2
15,1,13,9,16,15,5
15,2,5,10,6,16,17
15,3,18,7,6,10,5
15,4,1,2,17,18,11
15,5,3,4,13,12,11
15,6,4,20,9,17,12
15,7,6,1,8,20,7
15,8,19,10,12,16,15
15,9,8,3,13,1,19
15,10,15,11,14,9,8
