Respondent,RLH,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,Item51,Item52,Item53,Item54,Item55,Item56,Item57,Item58,Item59,Item60,Item61,Item62,Item63,Item64,Item65,Item66,Item67,Item68,Item69,Item70,Item71,Item72,Item73,Item74,Item75,Item76,Item77,Item78,Item79,Item80,Item81,Item82,Item83,Item84,Item85,Item86,Item87,Item88,Item89,Item90,Item91,Item92,Item93,Item94,Item95,Item96,Item97,Item98,Item99,Item100,Item101,Item102,Item103,Item104,Item105,Item106,Item107,Item108,Item109,Item110,Item111,Item112,Item113,Item114,Item115,Item116,Item117,Item118,Item119,Item120
1,445,0.819621,-0.357624,0.942621,1.526477,-0.069153,2.95066,1.771123,-0.353137,0.947786,1.438391,2.929625,-2.434622,1.598612,1.496178,1.763548,0.25194,2.620196,2.760744,2.446319,1.264632,3.258357,1.461982,3.435684,3.208635,-1.468666,0.097295,1.709563,0.33248,0.343416,1.721501,-0.066898,0.170113,1.001539,0.39043,0.380074,0.798422,2.845446,1.733983,0.639361,0.973217,1.281138,0.814931,0.599561,0.601419,0.189515,2.405291,0.725498,4.804944,1.533912,-1.064499,2.262702,-2.173395,1.014814,2.337348,1.71404,-0.434384,2.75853,1.861383,2.125587,0.873432,1.315856,0.055692,2.134869,0.212872,-0.080631,4.580415,1.049708,-0.434621,-2.191914,0.897305,1.701303,1.70423,3.037955,2.23979,0.612825,1.219828,3.011378,2.689637,0.905589,3.217872,1.20961,-0.043584,2.00083,4.966541,1.916303,-0.134269,0.513442,2.289156,2.405325,2.349331,-1.457999,3.564478,-1.827149,0.960437,0.167468,0.472319,0.072814,0.915298,1.599551,1.106581,-0.412972,-2.040768,-0.467994,0.782943,2.877423,3.760343,1.039559,0.238418,3.296861,2.439156,1.876328,2.898691,2.164368,1.354626,1.893855,1.839255,-0.096162,-0.534281,2.392811,0
10,366,-1.740692,-3.830001,-1.557854,-1.663959,-0.243994,-1.603013,-0.842651,-0.274181,0.119057,-1.774116,-0.455834,-1.113183,-2.540123,-1.889021,-1.599692,-1.462008,0.492363,-0.802903,-1.812996,-0.680693,0.590518,-0.550693,-0.833326,-0.588281,-5.128546,-1.920692,-1.382206,-2.205008,-0.238986,-0.324465,-1.562225,-1.102593,-0.637991,-3.072148,-3.332937,-0.52111,-0.836608,-1.549072,-1.746759,-2.114299,-1.433382,0.235682,-0.991566,-0.555943,-0.875346,0.272395,-2.440623,-0.013748,0.678388,-2.586538,-1.398074,-2.215322,1.730558,0.765097,0.089763,-2.799243,0.05467,-0.173064,-0.76118,-0.602983,-1.723235,0.727291,-0.199289,-1.467345,-1.94574,-0.222433,-0.87857,-1.945504,-0.983807,0.757067,-0.419841,-0.488514,2.118682,-1.199786,-1.426453,-0.832938,-1.155967,-0.221817,-1.338283,-1.209169,-0.922355,-0.207734,-0.218109,-0.845685,-0.473836,-1.685556,-2.887495,-1.389772,0.092487,0.181661,-0.632673,0.096555,-2.597129,-0.835439,-0.283289,-0.569574,2.398207,-4.448995,0.373213,-2.319471,-0.846947,-1.425296,2.496414,-3.085466,0.746112,-0.265347,-0.82303,-0.479584,0.131187,0.516829,-1.442109,-0.971873,0.557132,-0.581587,0.396468,-0.69776,-1.422621,-1.87118,0.061342,0
100,250,0.66016,1.027829,0.325725,0.71189,2.96207,1.47656,1.045751,0.180645,-0.024885,0.368796,1.070995,0.661022,0.422098,0.033069,1.302166,-0.242708,1.95076,1.252946,0.896032,1.595564,1.189166,1.33521,1.022502,0.937532,-3.77951,0.21639,1.042003,0.649772,0.936222,1.215885,0.569477,0.007276,0.983591,0.964272,-1.667402,2.12731,2.256649,0.547025,0.527091,0.73366,0.854149,1.670856,3.160272,0.825792,0.808085,2.460887,2.053848,1.072803,1.934238,0.605622,1.976428,0.812639,1.689143,1.143132,2.820505,0.090734,1.158636,-0.165324,-0.213948,1.733001,1.268577,1.929496,0.868398,1.014053,-0.312259,1.019001,1.267367,0.832969,1.982623,0.185127,1.066135,1.213491,2.28685,-1.107165,0.774137,2.036562,1.072922,1.344154,1.020391,0.4224,1.446654,0.173677,0.928072,1.312736,1.779984,1.567573,-1.59905,1.000736,0.521227,1.107193,1.864633,0.168994,-1.144261,0.407249,0.699861,1.627278,1.373758,0.514457,1.739362,1.555266,0.733066,-0.002162,0.522888,1.514883,0.428154,0.154984,0.689596,-0.500286,0.248077,1.323033,0.75197,0.651338,0.938991,0.731546,0.778324,0.201611,0.580429,-1.218493,0.748055,0
1000,462,-2.256035,-5.219162,-4.278192,-2.325307,-2.572875,-2.093857,-3.834066,-7.185502,0.423991,-2.972354,-2.748787,-4.990657,-4.374032,-3.947311,-2.094507,-0.957282,-2.064189,-6.357047,-4.092084,-2.305364,-1.98876,-3.251333,-0.675623,-3.674311,-8.134775,-1.960803,-4.756921,-0.702034,-1.106281,-2.951925,-2.173889,-2.47728,-1.313831,-3.179166,-7.268124,-5.124088,-1.839727,-5.299105,-1.084442,-2.527317,-2.356651,0.658911,-1.418369,-1.738559,-3.55937,1.177172,-5.736339,-4.472778,-3.993182,-2.602581,-1.712663,-6.788838,-4.948156,-2.671444,-1.312404,-3.351273,-2.678965,-3.001384,-3.102962,-0.179849,-1.850419,-4.839822,-2.24667,-0.28212,-1.169419,-6.03515,-2.20346,-2.269236,0.23419,-3.346845,-1.907194,-1.380978,0.290249,-1.487754,-1.897124,-0.137333,-5.039007,-3.887715,-3.179103,-6.142478,-1.490522,-3.803753,-4.012132,-3.609051,-3.96726,-5.453754,-5.118995,-2.958168,-0.759692,-2.572744,-4.163205,-5.407542,-4.368607,-1.776915,-1.579105,-0.60488,-0.264862,-6.049841,-4.33021,-1.621854,-1.436967,-6.170588,-0.23633,-0.28691,-1.572667,-1.736988,-1.186812,-2.606812,-5.274568,-3.61156,-0.641483,-2.993542,-2.135203,-2.073875,0.397601,-3.475532,-6.112733,-3.386781,-4.21093,0
1002,262,-0.415702,-1.393447,-1.336394,0.126351,0.229218,0.465512,0.472595,-1.512486,0.702212,2.066667,-0.032001,-1.371983,-0.503457,-0.900932,0.732544,-0.892149,0.771851,0.378744,-0.664447,0.035283,0.790065,1.278333,-0.437763,1.199848,-4.664491,0.037524,-0.370252,-0.061388,-0.33865,0.642637,0.456049,0.039615,0.649672,-1.015373,-2.814436,0.31367,1.833864,-0.518443,-0.463773,1.614519,0.353209,-0.299087,0.320775,0.570705,-0.085552,-1.600885,-0.300377,-1.729801,1.844116,0.428723,0.237115,-1.873603,-0.139529,0.817222,1.517454,0.966698,0.575411,1.183324,-0.573622,0.965441,1.327612,0.385296,2.251164,-0.038965,-0.424573,-2.816507,1.168265,-0.517015,-1.924575,0.198515,1.072723,0.772028,1.813381,1.215434,-0.02226,1.110436,1.850827,1.123438,-0.133625,-0.019593,-0.388304,-1.607444,2.326994,0.62316,0.942339,-1.312344,-0.504034,0.33834,1.093438,0.916545,0.121793,-0.815012,-0.670659,-0.289125,-0.806928,-0.267956,-1.30195,-1.22378,-0.853698,0.934354,-0.486165,-2.534128,-2.397448,0.700875,0.68203,0.930316,0.111096,-0.394393,-0.613965,0.180551,1.104217,-0.883522,-0.117428,1.261331,-0.413062,0.450838,-0.906869,-1.508042,-0.456623,0
1003,353,0.509451,-4.027402,-1.364526,-0.090581,0.447472,-0.180055,-0.824158,-2.3468,0.34667,-0.115204,0.530566,-1.727344,0.708082,-0.217374,-0.198429,0.642984,0.102846,0.491269,-0.994404,-0.336535,-0.059541,-0.026301,0.324845,-0.825795,-4.812151,-1.425022,-2.658192,-0.481742,-0.485438,-0.143299,-0.47517,0.03167,-1.103597,-1.622385,-3.115889,-0.427497,0.676986,-1.307659,-1.214784,-0.789752,-0.60595,1.407275,0.978597,-0.147139,0.279508,2.343167,-1.748117,-0.593831,0.297559,-0.320142,1.020642,-2.294017,-1.443706,0.498488,0.814086,-0.810196,0.074558,-0.491912,-2.387132,1.547658,1.705826,-1.217363,-1.759456,0.33768,-0.618836,-0.254721,-0.919529,-1.45048,0.594507,-1.672372,0.033416,-0.383391,0.694984,0.252379,-1.673035,0.607622,-0.282232,0.159775,-0.268379,-1.152928,-0.370541,-1.525956,-0.316055,0.778548,0.507342,-2.34925,-2.404806,-0.821716,-0.228745,0.647478,-1.435769,-1.315296,-2.661003,-0.732343,0.160547,0.567433,1.304861,-1.345435,0.858745,-0.464692,-0.231606,-2.579922,1.533658,-0.033013,0.484373,-0.915744,1.738793,0.063591,-0.165978,1.743702,-0.202777,0.147597,0.622305,-0.605053,0.799625,1.114859,-2.914477,-0.665177,-0.818225,0
1004,483,-3.421147,-5.030786,-2.467362,-1.948429,-2.575418,-2.172438,-2.40181,-4.75471,-1.626601,-1.593915,-0.796593,-4.07778,-3.806517,-2.681913,-1.360974,0.40662,-3.073047,-2.803786,-3.276851,-1.248885,-1.85568,-1.728695,-1.551586,-3.893497,-6.418303,-3.443194,-3.973647,-0.503495,-2.141077,-3.019156,-1.606653,-1.160594,-3.711589,-3.165619,-4.36583,-5.335128,-1.014605,-2.033223,-2.649739,-3.349978,-2.930958,-1.486444,-0.359827,-2.39718,-4.074115,-0.856325,-1.358551,-4.066375,-2.072033,-0.67563,-1.34838,-6.903444,-4.006082,-2.047455,0.143061,-2.560948,-1.820922,-3.225733,-1.540804,-0.810217,-2.510524,-2.611989,-0.975005,-0.772529,-1.10173,-4.13441,-2.503517,-1.559462,-1.211595,-3.558226,-0.293788,-0.263652,0.332272,-3.070256,-1.887658,-0.494344,-2.624717,-2.287703,-2.025822,-3.84708,-1.564905,-1.360603,-2.601538,-4.731292,-3.506024,-5.418029,-3.972517,-2.726432,-1.259644,-3.639331,-3.342734,-2.840334,-5.441189,-0.006582,0.738171,-1.073385,-1.165598,-5.775242,-7.032396,-2.544678,-2.028193,-2.954309,-2.981963,0.005645,-1.235423,-2.861608,1.340303,1.735383,-3.908711,-2.425906,-1.996068,1.563234,-1.017372,-2.3426,-0.895066,-3.004872,-4.838994,-1.572088,-2.507086,0
1006,509,0.821133,-2.2027,0.54335,0.851062,3.2903,3.06825,1.83909,-0.56254,-0.23881,1.973697,1.291777,2.139464,-0.637139,-1.305953,2.0206,-1.333064,3.630708,0.942018,0.157866,2.440033,3.174351,-0.706087,2.015682,3.241165,-4.172602,-0.335001,0.231358,-0.590972,0.84163,3.716577,1.074472,1.447825,1.788984,-0.673902,-4.583283,-0.090552,2.79694,-0.687947,0.047107,0.486388,1.084073,-0.411531,0.831992,2.372826,2.295937,0.832056,-1.310876,-0.786552,3.873767,-2.217669,2.473924,0.11237,-0.802459,2.025442,3.838361,-1.81821,0.791507,2.597153,1.097647,2.979715,2.166123,-0.649441,3.725591,-1.492162,-1.76273,-0.296714,-0.978402,-1.42989,-1.301572,-1.098861,0.50056,2.585784,3.674876,0.390246,-1.2639,1.498351,2.646355,2.381015,-4.872114,0.803464,3.60963,-1.77237,2.878485,3.203969,1.412642,-2.643919,-4.275791,0.279902,2.938491,0.500932,1.91527,-0.763886,-2.634743,3.728061,-0.636777,2.288238,-2.922599,-2.249643,0.987353,1.46916,-0.204212,-3.022554,-2.498008,3.646873,4.059557,3.826651,-1.285214,-2.961929,-1.968116,0.311331,1.681541,0.105135,3.747253,2.646685,0.928027,-0.389693,-3.380978,-3.665219,-1.242848,0
1008,498,-1.903528,-0.196821,-2.931175,1.150328,1.357505,1.008623,0.36248,-4.038777,-0.54799,2.272267,0.782467,-1.616506,-2.154869,-1.889081,1.648871,0.821026,1.457496,-1.05316,-1.833157,0.937602,0.630572,1.859558,-1.614114,-0.221854,-5.583763,-0.420272,2.572874,-0.443683,-1.772981,-0.225234,1.902708,2.224763,0.866207,0.216529,-5.849138,-0.664975,2.472683,-1.43645,-0.722414,-0.939162,1.37617,-1.082133,1.753087,1.24028,0.207803,-2.244256,1.811703,-2.82894,1.766769,0.571242,1.179229,-1.931288,0.318274,1.687092,2.149218,-1.80118,-0.01538,0.67553,0.309915,1.563226,-0.157374,1.789658,0.501255,-0.710377,-1.069492,-4.271841,1.232146,0.567659,-5.061536,-0.253153,-1.111205,-0.041767,0.848829,-0.900512,1.163144,2.065015,-0.010533,0.97687,1.453116,-0.999367,-0.171374,-0.975838,3.266732,0.417201,0.629606,-0.126671,-3.714998,-1.049213,0.014264,-0.734202,1.061404,0.717495,-3.366093,-1.626648,-1.205741,-1.337374,-2.910416,-4.529942,-2.116223,-0.247474,-0.090468,2.214614,-4.954702,0.594539,-1.682611,-1.099426,0.911768,-1.961882,-0.753497,-0.738404,2.221521,-2.492018,-0.704697,1.340801,0.25291,-0.150318,-1.911744,-2.039988,-1.476702,0
1010,510,0.864881,-5.6353,-1.190814,1.079009,1.52195,2.556285,1.024737,-1.25508,0.877445,0.994467,3.405127,0.301289,-2.065743,-0.512871,1.584506,-1.785008,1.809178,2.206959,-0.372018,0.18703,2.264762,-2.26442,1.054294,2.387102,-3.071024,-0.493241,-0.011585,-2.72328,0.697726,2.243391,0.886696,0.035658,1.695162,0.093511,-3.926401,0.230294,1.236044,0.379822,0.267577,0.377929,1.566464,0.757867,-0.815023,1.233088,0.939157,0.727666,-3.20057,-2.735386,2.587928,-1.214271,2.683123,-0.029869,-0.244976,2.216379,2.624659,0.278844,0.462087,2.312831,1.186702,2.692679,2.508473,-1.461953,2.478369,-1.28097,-2.128484,-3.766379,-0.288353,-1.43157,-0.597176,-1.742106,-0.073542,0.007739,1.843125,0.329021,0.135619,1.611517,4.408389,0.423535,-4.691122,1.684908,0.436688,-4.218691,1.896987,2.205212,1.854738,-3.901667,-3.956269,-0.852603,0.855198,0.398992,-0.592558,3.43753,-2.889796,0.298617,-1.954172,-0.357975,-1.78252,-2.33172,-1.159286,-0.212153,-0.377822,-2.327998,-3.863534,0.756262,1.162633,1.843782,-2.451694,-2.230613,-0.892071,-1.420106,0.267907,-1.780998,2.691789,1.667239,-0.667095,-0.543526,-3.45255,-2.346913,-0.566204,0
