Respondent,RLH,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40
1,445,3.258357,0.072814,2.405291,0.639361,0.897305,1.839255,1.763548,0.39043,-0.080631,1.701303,2.75853,-0.434384,1.861383,0.873432,3.564478,2.289156,-2.434622,3.037955,3.760343,0.343416,3.435684,-0.357624,1.598612,1.438391,1.106581,1.219828,2.439156,1.916303,-2.173395,-2.191914,0.380074,2.164368,1.354626,0.973217,0.472319,-0.412972,0.612825,2.620196,4.804944,2.00083
10,366,0.590518,2.398207,0.272395,-1.746759,0.757067,-0.69776,-1.599692,-3.072148,-1.94574,-0.419841,0.05467,-2.799243,-0.173064,-0.602983,0.096555,-1.389772,-1.113183,2.118682,-0.265347,-0.238986,-0.833326,-3.830001,-2.540123,-1.774116,-2.319471,-0.832938,0.516829,-0.473836,-2.215322,-0.983807,-3.332937,0.557132,-0.581587,-2.114299,-0.569574,-0.846947,-1.426453,0.492363,-0.013748,-0.218109
100,250,1.189166,1.373758,2.460887,0.527091,0.185127,0.201611,1.302166,0.964272,-0.312259,1.066135,1.158636,0.090734,-0.165324,1.733001,0.168994,1.000736,0.661022,2.28685,0.154984,0.936222,1.022502,1.027829,0.422098,0.368796,1.555266,2.036562,1.323033,1.779984,0.812639,1.982623,-1.667402,0.938991,0.731546,0.73366,1.627278,0.733066,0.774137,1.95076,1.072803,0.928072
1000,462,-1.98876,-0.264862,1.177172,-1.084442,-3.346845,-3.475532,-2.094507,-3.179166,-1.169419,-1.907194,-2.678965,-3.351273,-3.001384,-0.179849,-5.407542,-2.958168,-4.990657,0.290249,-1.736988,-1.106281,-0.675623,-5.219162,-4.374032,-2.972354,-1.621854,-0.137333,-3.61156,-3.96726,-6.788838,0.23419,-7.268124,-2.135203,-2.073875,-2.527317,-0.60488,-1.436967,-1.897124,-2.064189,-4.472778,-4.012132
1002,262,0.790065,-1.30195,-1.600885,-0.463773,0.198515,0.450838,0.732544,-1.015373,-0.424573,1.072723,0.575411,0.966698,1.183324,0.965441,-0.815012,0.33834,-1.371983,1.813381,0.930316,-0.33865,-0.437763,-1.393447,-0.503457,2.066667,0.934354,1.110436,0.180551,0.942339,-1.873603,-1.924575,-2.814436,-0.117428,1.261331,1.614519,-0.267956,-0.486165,-0.02226,0.771851,-1.729801,2.326994
1003,353,-0.059541,1.304861,2.343167,-1.214784,-1.672372,1.114859,-0.198429,-1.622385,-0.618836,0.033416,0.074558,-0.810196,-0.491912,1.547658,-1.315296,-0.821716,-1.727344,0.694984,-0.915744,-0.485438,0.324845,-4.027402,0.708082,-0.115204,-0.464692,0.607622,1.743702,0.507342,-2.294017,0.594507,-3.115889,0.622305,-0.605053,-0.789752,0.567433,-0.231606,-1.673035,0.102846,-0.593831,-0.316055
1004,483,-1.85568,-1.165598,-0.856325,-2.649739,-3.558226,-3.004872,-1.360974,-3.165619,-1.10173,-0.293788,-1.820922,-2.560948,-3.225733,-0.810217,-2.840334,-2.726432,-4.07778,0.332272,-2.861608,-2.141077,-1.551586,-5.030786,-3.806517,-1.593915,-2.544678,-0.494344,-2.425906,-3.506024,-6.903444,-1.211595,-4.36583,-1.017372,-2.3426,-3.349978,-1.073385,-2.028193,-1.887658,-3.073047,-4.066375,-2.601538
1006,509,3.174351,-2.922599,0.832056,0.047107,-1.098861,-0.389693,2.0206,-0.673902,-1.76273,0.50056,0.791507,-1.81821,2.597153,2.979715,-0.763886,0.279902,2.139464,3.674876,3.826651,0.84163,2.015682,-2.2027,-0.637139,1.973697,1.46916,1.498351,0.311331,1.412642,0.11237,-1.301572,-4.583283,3.747253,2.646685,0.486388,2.288238,-0.204212,-1.2639,3.630708,-0.786552,2.878485
1008,498,0.630572,-2.910416,-2.244256,-0.722414,-0.253153,-0.150318,1.648871,0.216529,-1.069492,-1.111205,-0.01538,-1.80118,0.67553,1.563226,0.717495,-1.049213,-1.616506,0.848829,-1.099426,-1.772981,-1.614114,-0.196821,-2.154869,2.272267,-0.247474,2.065015,-0.738404,0.629606,-1.931288,-5.061536,-5.849138,-0.704697,1.340801,-0.939162,-1.337374,-0.090468,1.163144,1.457496,-2.82894,3.266732
1010,510,2.264762,-1.78252,0.727666,0.267577,-1.742106,-0.543526,1.584506,0.093511,-2.128484,-0.073542,0.462087,0.278844,2.312831,2.692679,3.43753,-0.852603,0.301289,1.843125,1.843782,0.697726,1.054294,-5.6353,-2.065743,0.994467,-0.212153,1.611517,-1.420106,1.854738,-0.029869,-0.597176,-3.926401,2.691789,1.667239,0.377929,-0.357975,-0.377822,0.135619,1.809178,-2.735386,1.896987
